% Created by Ralph Foorthuis, 2017
% See the following publication for use in anomaly detection research: Foorthuis, R.M. (2017). SECODA: Segmentation- and Combination-Based Detection of Anomalies. In: Proceedings of the 4th IEEE International Conference on Data Science and Advanced Analytics (DSAA 2017), Tokyo, Japan.
% www.foorthuis.nl

@relation TimeSeries
@attribute Time numeric
@attribute AverageWage numeric
@data
20.916,2556.73588319014
20.997,2552.81765509662
21.078,2549.76341570355
21.159,2547.55378449012
21.24,2546.16552433803
21.321,2545.57169591042
21.402,2545.74183124808
21.483,2546.64212585813
21.564,2548.23564847921
21.645,2550.48256761744
21.726,2553.34039386116
21.807,2556.76423689863
21.888,2560.70707608303
21.969,2565.12004331266
22.05,2569.95271692238
22.131,2575.15342521445
22.212,2580.66955819468
22.293,2586.44788602179
22.374,2592.43488262631
22.455,2598.5770529089
22.536,2604.82126188781
22.617,2611.11506413184
22.698,2617.40703178749
22.779,2623.64707948921
22.86,2629.78678442831
22.941,2635.77969985009
23.022,2641.58166025069
23.103,2647.15107655391
23.184,2652.44921956577
23.265,2657.44049002882
23.346,2662.09267363169
23.427,2666.37717936949
23.508,2670.26925970029
23.589,2673.7482109991
23.67,2676.79755287642
23.751,2679.40518500088
23.832,2681.56352014654
23.913,2683.26959227414
23.994,2684.52513855159
24.075,2685.33665432304
24.156,2685.71542014642
24.237,2685.67750013784
24.318,2685.24371098535
24.399,2684.43956112617
24.48,2683.29515971834
24.561,2681.84509518071
24.642,2680.12828322339
24.723,2678.18778444354
24.804,2676.07059171886
24.885,2673.82738779214
24.966,2671.51227360464
25.047,2669.18246810308
25.128,2666.8979804143
25.209,2664.72125545195
25.29,2662.71679419122
25.371,2660.95075001848
25.452,2659.49050273373
25.533,2658.40421195268
25.614,2657.76035182204
25.695,2657.62722912553
25.776,2658.07248701778
25.857,2659.16259677837
25.938,2660.96234012732
26.019,2663.53428478627
26.1,2666.93825610454
26.181,2671.23080769586
26.262,2676.46469414892
26.343,2682.68834898151
26.424,2689.94537110379
26.505,2698.27402313896
26.586,2707.7067450199
26.667,2718.26968633557
26.748,2729.98226094168
26.829,2742.85672737412
26.91,2756.89779861097
26.991,2772.10228471797
27.072,2788.45877188266
27.153,2805.94734129289
27.234,2824.53933124541
27.315,2844.19714577883
27.396,2864.87411301179
27.477,2886.51439623097
27.558,2909.05296061381
27.639,2932.4155982873
27.72,2956.51901421593
27.801,2981.27097517898
27.882,3006.57052383895
27.963,3032.30825961926
28.044,3058.36668779966
28.125,3084.62063790297
28.206,3110.93775208566
28.287,3137.1790438587
28.368,3163.19952705379
28.449,3188.84891451388
28.53,3213.97238552684
28.611,3238.41142053799
28.692,3262.0047011711
28.773,3284.58907306101
28.854,3306.00056845385
28.935,3326.07548496596
29.016,3344.65151631069
29.097,3361.56893020585
29.178,3376.67178806577
29.259,3389.80920046297
29.34,3400.83661171838
29.421,3409.61710634861
29.502,3416.02272946753
29.583,3419.93581261057
29.664,3421.25029582828
29.745,3419.87303628435
29.826,3415.72509299751
29.907,3408.74297679168
29.988,3398.87985396928
30.069,3386.10669170493
30.15,3370.41333267708
30.231,3351.80948601998
30.312,3330.32562129459
30.393,3306.01375185317
30.474,3278.94809371505
30.555,3249.22558589051
30.636,3216.96625799371
30.717,3182.3134309849
30.798,3145.43373698647
30.879,3106.51694433755
30.96,3065.77557440036
31.041,3023.44429711869
31.122,2979.77909296993
31.203,2935.05616975843
31.284,2889.57062368556
31.365,2843.63483531409
31.446,2797.57659243957
31.527,2751.73693350268
31.608,2706.46770704513
31.689,2662.12884484253
31.77,2619.08534876257
31.851,2577.70399411454
31.932,2538.34975529783
32.013,2501.38196294585
32.094,2467.15020551869
32.175,2435.98999244965
32.256,2408.21820052
32.337,2384.12833015148
32.418,2363.98560379316
32.499,2348.02194456772
32.58,2336.43087986143
32.661,2329.36242162372
32.742,2326.91798281789
32.823,2329.14539776881
32.904,2336.03412312064
32.985,2347.51070578503
33.066,2363.43461466503
33.147,2383.59454412245
33.228,2407.70530915632
33.309,2435.40546512176
33.39,2466.25579858438
33.471,2499.73885062202
33.552,2535.25964960106
33.633,2572.14784721708
33.714,2609.66146945088
33.795,2646.99251310434
33.876,2683.27463879963
33.957,2717.59323280853
